qtype,node,k,node_count,hops_reached,latency_ms
descendants,dimasik2987/2759e2ad-d801-4355-86be-2ce7adeb5178,3,1,0,0.0
descendants,appvoid/merging-x1,2,1,0,0.0
ancestors,SpongeEngine/Qwen2.5-32B-Instruct-abliterated-v2-i1-GGUF,3,4,3,0.0
k_hop,roneneldan/TinyStories-33M,3,1,0,0.0
ancestors,vertings6/d6f47dab-0449-499f-aac4-5883beeb6783,10,3,2,0.0
k_hop,aleegis10/73d2f850-7041-4849-8e5f-ca8d9d885c69,3,2,1,0.0
k_hop,mlabonne/NeuralLlama-3-8B-Instruct-abliterated,2,18,1,0.0
k_hop,mradermacher/bloom-7b1-GGUF,2,1,0,0.0
ancestors,E-katrin/train20_0_check,5,2,1,0.0
k_hop,Exisfar/Meta-Llama-3.1-8B-Instruct-Q4_K_M-GGUF,2,3,2,0.0
ancestors,shahrukh95/Llama-2-7b-Set-2-cybersecurity-layered-config,5,2,1,0.0
ancestors,HuggingFaceTB/SmolVLM-256M-Instruct,5,704,5,0.9999275207519531
ancestors,unsloth/Qwen2.5-Coder-14B-Instruct,3,4,3,0.0
descendants,YWZBrandon/flan-t5-large,2,3,1,0.0
descendants,yang-z/CodeV-CL-7B,5,3,1,0.0
k_hop,ShynBui/s4,2,1,0,0.0
descendants,deshanksuman/finetuned-WSD-llama3-8b-Instruct_fews_semcor,10,1,0,0.0
k_hop,Trelis/function_calling_v3,2,2,1,0.0
ancestors,wsbagnsv1/SkyReels-V2-I2V-14B-540P-GGUF,10,2,1,0.0
ancestors,mradermacher/OrpoLlama3-8B-FT-GGUF,5,2,1,0.0
descendants,N-o-1/pokemon-images,2,3,1,0.0
k_hop,gayanin/pubmed-abs-sub-05,3,2,1,0.0
descendants,TheBloke/Norobara-ZLoss-8x7B-AWQ,10,1,0,0.0
descendants,davidschulte/ESM_nguha__legalbench_citation_prediction_open,5,1,0,0.0
ancestors,mlfoundations-dev/oh-dcft-v3.1-llama-3.1-nemotron-70b-qwen,2,2,1,0.0
ancestors,Tomasal/OLMoE-1B-7B-0125-Instruct-enron,2,5,2,0.0
ancestors,Goekdeniz-Guelmez/J.O.S.I.E.v4o,3,49,3,0.0
descendants,patruff/dpo_mistral_nemo_fromSFT,2,1,0,0.0
k_hop,vibraniumdome/deberta-v3-base-optimus-v0,10,2,1,0.0
k_hop,halcyon-llm/SmolLM2-360M-japanese_token-11403,5,3,1,0.0
k_hop,ansilmbabl/xml-forsta-suvery-train-0.0.2-merged_16bit,5,3,1,0.0
ancestors,infogeo/9a382448-7812-48b0-bdb2-f7e13af80bfe,2,2,1,0.0
k_hop,stefan-it/hmbench-ajmc-en-hmteams-bs4-wsFalse-e10-lr5e-05-poolingfirst-layers-1-crfFalse-1,3,2,1,0.0
ancestors,minpeter/LoRA-HCX-3b-sf-xlam-00,3,7,3,0.0
descendants,NeverSleep/Lumimaid-v0.2-70B,5,333,5,0.0
descendants,neurlang/phonetic,5,6,2,0.0
descendants,vertings6/eee2e11f-ac7b-4b9b-aee8-ad7a32b42813,3,1,0,0.0
descendants,mradermacher/Llama_3.1_8b_DodoWild_v2.03-GGUF,5,1,0,0.0
descendants,MaziyarPanahi/Experiment26Neuralsirkrishna_Strangemerges_32Strangemerges_30,5,2,1,0.0
descendants,ai-forever/ruT5-base,10,26,3,0.0
ancestors,ytu-ce-cosmos/Turkish-Llama-8b-Instruct-v0.1,5,2,1,0.0
descendants,romainnn/7c96bcdb-e360-431b-8a71-12efe4b4bc1b,3,1,0,0.0
descendants,VERSIL91/45874826-f780-4b64-9a1e-d3572021c8ad,3,1,0,0.0
k_hop,mradermacher/llama-3-neural-chat-v2.2-8B-GGUF,2,2,1,0.0
descendants,infogeo/196a15eb-06dd-4cd5-8b2a-190a8cb6eaeb,5,1,0,0.0
k_hop,mradermacher/samantha-1.1-llama-7b-GGUF,5,2,1,0.0
descendants,Universal-NER/Pile-NER-type,2,43,2,0.0
k_hop,kanhatakeyama/AutoMultiTurnByMixtral8x22b,2,129,2,0.0
ancestors,sergioalves/89f3575c-dce8-45e7-a4ae-3f22a961b99b,3,23,3,0.0
k_hop,mnemic/BatmanCore-PDXL-LoRA,3,2,1,0.0
k_hop,ivangrapher/b05d90d4-020e-4bfc-bdf1-b1df1f1a1a90,10,2,1,0.0
k_hop,silent666/Qwen-Qwen1.5-7B-1718381002,5,2,1,0.0
ancestors,jahyungu/Falcon3-7B-Instruct_ocg,5,3,2,0.0
k_hop,PrunaAI/milyausha2801-SmolLM2-FT-smoltalk-bnb-8bit-smashed,3,3,2,0.0
descendants,tejp/fine-tuned,2,1,0,0.0
ancestors,tonyzhang666/dc-ae-f32c32-in-1.0-w4-v4,3,2,1,0.0
descendants,omarmomen/structformer_s2_final_with_pos,3,1,0,0.0
k_hop,vdos/dfd28e65-6a48-4ec3-9ffd-feec646d0d69,5,1,0,0.0
ancestors,ritendub/zephyr-beta-new-model,5,877,5,0.9984970092773438
descendants,wyceee/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-deadly_galloping_hamster,3,1,0,0.0
descendants,cardiffnlp/twitter-xlm-roberta-base-sentiment,3,38,2,0.0
descendants,keplersystems/poetry-llama-3.3-70B-LoRA,10,1,0,0.0
descendants,cognitivecomputations/dolphin-2.9.3-qwen2-1.5b,5,24,3,0.0
k_hop,nhungphammmmm/29645f83-190e-4521-9234-24ceb529e405,3,2,1,0.0
descendants,Orion-zhen/Meissa-Qwen2.5-7B-Instruct-Q5_K_M-GGUF,2,1,0,0.0
ancestors,PrunaAI/AmberYifan-Mistral-7B-v0.3-sft-SPIN-self-bnb-8bit-smashed,3,2,1,0.0
k_hop,numind/NuNER_Zero-span,10,4,2,0.0
ancestors,Cran-May/T.E-8.1,2,3,2,0.0
ancestors,PrunaAI/jameselmore-phi-agreeable-bnb-8bit-smashed,10,3,2,0.0
